FECHA	TIPO DE CLIENTE	CLIENTE	VENDEDOR	TIPO DE PRODUCTO	PRODUCTO	CANTIDAD	PRECIO DE COMPRA	PRECIO DE VENTA	DESCUENTO	TOTAL	MARGEN DE GANANCIA
01/01/2020	CORPORATIVO	MESÓN PEPE	LORENA SÁNCHEZ	CARNES	TERNERA 32 KILOS	4	$ 185,00	$ 352,00	1,50%	$ 1.386,88	47%
05/01/2020	DISTRIBUIDOR	DURIEL S.L.	ROBERTO GÓMEZ	CARNES	CORDERO 30 KILOS	3	$ 157,80	$ 285,00	3,00%	$ 829,35	43%
07/01/2020	PARTICULAR	PEDRO ROBLES	ROBERTO GÓMEZ	VERDURAS	ZANAHORIAS 25 KILOS	4	$ 5,50	$ 10,00	0,00%	$ 40,00	45%
07/01/2020	DISTRIBUIDOR	ARTMONT S.A.	ROBERTO GÓMEZ	CARNES	POLLO 20 KILOS	4	$ 24,00	$ 44,00	3,00%	$ 170,72	44%
07/01/2020	CORPORATIVO	CASA MANOLO	RAÚL PÉREZ	CARNES	JAMÓN 25 KILOS	7	$ 395,00	$ 675,00	1,50%	$ 4.654,13	41%
10/01/2020	CORPORATIVO	MESÓN PEPE	LORENA SÁNCHEZ	CARNES	JAMÓN 25 KILOS	2	$ 395,00	$ 675,00	1,50%	$ 1.329,75	41%
16/01/2020	DISTRIBUIDOR	ARTMONT S.A.	LORENA SÁNCHEZ	VERDURAS	ZANAHORIAS 25 KILOS	2	$ 5,50	$ 10,00	3,00%	$ 19,40	43%
20/01/2020	DISTRIBUIDOR	ARTMONT S.A.	ROBERTO GÓMEZ	CARNES	JAMÓN 25 KILOS	6	$ 395,00	$ 675,00	3,00%	$ 3.928,50	40%
22/01/2020	PARTICULAR	CARMEN PIÑAR	RAÚL PÉREZ	CARNES	POLLO 20 KILOS	4	$ 24,00	$ 44,00	0,00%	$ 176,00	45%
23/01/2020	EMPLEADO	LORENA SÁNCHEZ	LORENA SÁNCHEZ	CARNES	TERNERA 32 KILOS	7	$ 185,00	$ 352,00	10,00%	$ 2.217,60	42%
24/01/2020	AGRUPACIÓN	AGR. NUESTROS AMIGOS	LORENA SÁNCHEZ	VERDURAS	LECHUGA 60 UNIDADES	2	$ 17,00	$ 30,00	2,00%	$ 58,80	42%
30/01/2020	PARTICULAR	PEDRO ROBLES	RAÚL PÉREZ	VERDURAS	CALABACÍN 32 KILOS	2	$ 16,84	$ 25,28	0,00%	$ 50,56	33%
01/02/2020	EMPLEADO	LORENA SÁNCHEZ	ROBERTO GÓMEZ	BEBIDAS	SODA 25 BOTELLAS (1L)	7	$ 21,00	$ 45,00	10,00%	$ 283,50	48%
01/02/2020	AGRUPACIÓN	AGR. NUESTROS AMIGOS	LORENA SÁNCHEZ	VERDURAS	PATATAS 40 KILOS	6	$ 17,75	$ 34,50	2,00%	$ 202,86	48%
01/02/2020	PARTICULAR	CARMEN PIÑAR	LORENA SÁNCHEZ	BEBIDAS	AGUA 50 GARRAFAS (6L)	7	$ 18,00	$ 25,00	0,00%	$ 175,00	28%
02/02/2020	EMPLEADO	LORENA SÁNCHEZ	ROBERTO GÓMEZ	CARNES	TERNERA 32 KILOS	2	$ 185,00	$ 352,00	10,00%	$ 633,60	42%
04/02/2020	PARTICULAR	CARMEN PIÑAR	LORENA SÁNCHEZ	CARNES	POLLO 20 KILOS	5	$ 24,00	$ 44,00	0,00%	$ 220,00	45%
05/02/2020	DISTRIBUIDOR	DURIEL S.L.	LORENA SÁNCHEZ	VERDURAS	ZANAHORIAS 25 KILOS	4	$ 5,50	$ 10,00	3,00%	$ 38,80	43%
06/02/2020	PARTICULAR	CARMEN PIÑAR	LORENA SÁNCHEZ	VERDURAS	ZANAHORIAS 25 KILOS	3	$ 5,50	$ 10,00	0,00%	$ 30,00	45%
06/02/2020	CORPORATIVO	MESÓN PEPE	RAÚL PÉREZ	CARNES	CORDERO 30 KILOS	5	$ 157,80	$ 285,00	1,50%	$ 1.403,63	44%
06/02/2020	PARTICULAR	PEDRO ROBLES	RAÚL PÉREZ	BEBIDAS	AGUA 50 GARRAFAS (6L)	5	$ 18,00	$ 25,00	0,00%	$ 125,00	28%
08/02/2020	DISTRIBUIDOR	ARTMONT S.A.	ROBERTO GÓMEZ	BEBIDAS	VINO 15 BOTELLAS (0,75 L)	7	$ 45,75	$ 72,75	3,00%	$ 493,97	35%
15/02/2020	DISTRIBUIDOR	DURIEL S.L.	ROBERTO GÓMEZ	VERDURAS	ZANAHORIAS 25 KILOS	6	$ 5,50	$ 10,00	3,00%	$ 58,20	43%
